9: nome_desti, 4: nome_orige
9: Guara?, 4: Santa Maria do Tocantins
9: Pau dos Ferros, 4: S?o Francisco do Oeste
9: Pau dos Ferros, 4: S?o Miguel
9: Pau dos Ferros, 4: Serrinha dos Pintos
9: Pau dos Ferros, 4: Taboleiro Grande
9: Pau dos Ferros, 4: Tenente Ananias
9: Pau dos Ferros, 4: Vi?osa
9: Santa Cruz, 4: Campo Redondo
9: Santa Cruz, 4: Coronel Ezequiel
9: Santa Cruz, 4: Ja?an?
9: Santa Cruz, 4: Japi
9: Guara?, 4: Tupirama
9: Santa Cruz, 4: Lajes Pintadas
9: Santa Cruz, 4: S?o Bento do Trair?
9: Santa Cruz, 4: S?tio Novo
9: Santa Cruz, 4: Campo Redondo
9: Santa Cruz, 4: Coronel Ezequiel
9: Santa Cruz, 4: Ja?an?
9: Santa Cruz, 4: Japi
9: Santa Cruz, 4: Lajes Pintadas
9: Santa Cruz, 4: S?o Bento do Trair?
9: Santa Cruz, 4: S?tio Novo
9: Natividade, 4: Chapada da Natividade
9: Santo Ant?nio, 4: Jundi?
9: Santo Ant?nio, 4: Passagem
9: Santo Ant?nio, 4: Serrinha
9: Santo Ant?nio, 4: Jundi?
9: Santo Ant?nio, 4: Passagem
9: Santo Ant?nio, 4: Serrinha
9: S?o Paulo do Potengi, 4: Barcelona
9: S?o Paulo do Potengi, 4: Lagoa de Velhos
9: S?o Paulo do Potengi, 4: Santa Maria
9: S?o Paulo do Potengi, 4: Riachuelo
9: Palmeir?polis, 4: S?o Salvador do Tocantins
9: S?o Paulo do Potengi, 4: Ruy Barbosa
9: S?o Paulo do Potengi, 4: S?o Pedro
9: S?o Paulo do Potengi, 4: Senador El?i de Souza
9: S?o Paulo do Potengi, 4: Barcelona
9: S?o Paulo do Potengi, 4: Lagoa de Velhos
9: S?o Paulo do Potengi, 4: Santa Maria
9: S?o Paulo do Potengi, 4: Riachuelo
9: S?o Paulo do Potengi, 4: Ruy Barbosa
9: S?o Paulo do Potengi, 4: S?o Pedro
9: S?o Paulo do Potengi, 4: Senador El?i de Souza
9: Taguatinga, 4: Aurora do Tocantins
9: Araruna, 4: Dami?o
9: ACP de Campina Grande, 4: Alagoa Grande
9: ACP de Campina Grande, 4: Alagoa Nova
9: ACP de Campina Grande, 4: Alcantil
9: ACP de Campina Grande, 4: Algod?o de Janda?ra
9: ACP de Campina Grande, 4: Amparo
9: ACP de Campina Grande, 4: Arara
9: ACP de Campina Grande, 4: Areia
9: ACP de Campina Grande, 4: Areial
9: ACP de Campina Grande, 4: Aroeiras
9: Taguatinga, 4: Ponte Alta do Bom Jesus
9: ACP de Campina Grande, 4: Assun??o
9: ACP de Campina Grande, 4: Bananeiras
9: ACP de Campina Grande, 4: Bara?na
9: ACP de Campina Grande, 4: Barra de Santana
9: ACP de Campina Grande, 4: Barra de Santa Rosa
9: ACP de Campina Grande, 4: Barra de S?o Miguel
9: ACP de Campina Grande, 4: Boa Vista
9: ACP de Campina Grande, 4: Boqueir?o
9: ACP de Campina Grande, 4: Cabaceiras
9: ACP de Campina Grande, 4: Cacimba de Dentro
9: Maraca?um?, 4: Boa Vista do Gurupi
9: Tocantin?polis, 4: Luzin?polis
9: ACP de Campina Grande, 4: Cajazeiras
9: ACP de Campina Grande, 4: Cara?bas
9: ACP de Campina Grande, 4: Casserengue
9: ACP de Campina Grande, 4: Catol? do Rocha
9: ACP de Campina Grande, 4: Caturit?
9: ACP de Campina Grande, 4: Coxixola
9: ACP de Campina Grande, 4: Cubati
9: ACP de Campina Grande, 4: Cuit?
9: ACP de Campina Grande, 4: Dami?o
9: ACP de Campina Grande, 4: Esperan?a
9: Tocantin?polis, 4: Mauril?ndia do Tocantins
9: ACP de Campina Grande, 4: Fagundes
9: ACP de Campina Grande, 4: Gado Bravo
9: ACP de Campina Grande, 4: Gurj?o
9: ACP de Campina Grande, 4: Ing?
9: ACP de Campina Grande, 4: Itaporanga
9: ACP de Campina Grande, 4: Itatuba
9: ACP de Campina Grande, 4: Juarez T?vora
9: ACP de Campina Grande, 4: Juazeirinho
9: ACP de Campina Grande, 4: Junco do Serid?
9: ACP de Campina Grande, 4: Livramento
9: ACP de Manaus, 4: Caapiranga
9: Tocantin?polis, 4: Palmeiras do Tocantins
9: ACP de Campina Grande, 4: Massaranduba
9: ACP de Campina Grande, 4: Matinhas
9: ACP de Campina Grande, 4: Mogeiro
9: ACP de Campina Grande, 4: Montadas
9: ACP de Campina Grande, 4: Monteiro
9: ACP de Campina Grande, 4: Natuba
9: ACP de Campina Grande, 4: Nova Floresta
9: ACP de Campina Grande, 4: Nova Palmeira
9: ACP de Campina Grande, 4: Olivedos
9: ACP de Campina Grande, 4: Parari
9: Tocantin?polis, 4: Nazar?
9: ACP de Campina Grande, 4: Patos
9: ACP de Campina Grande, 4: Pedra Lavrada
9: ACP de Campina Grande, 4: Picu?
9: ACP de Campina Grande, 4: Pocinhos
9: ACP de Campina Grande, 4: Puxinan?
9: ACP de Campina Grande, 4: Rem?gio
9: ACP de Campina Grande, 4: Riach?o do Bacamarte
9: ACP de Campina Grande, 4: Riacho de Santo Ant?nio
9: ACP de Campina Grande, 4: Santo Andr?
9: ACP de Campina Grande, 4: S?o Domingos do Cariri
9: Tocantin?polis, 4: Santa Terezinha do Tocantins
9: ACP de Campina Grande, 4: S?o Jo?o do Cariri
9: ACP de Campina Grande, 4: S?o Jos? dos Cordeiros
9: ACP de Campina Grande, 4: S?o Sebasti?o de Lagoa de  Ro?a
9: ACP de Campina Grande, 4: Serid?
9: ACP de Campina Grande, 4: Serra Branca
9: ACP de Campina Grande, 4: Serra Redonda
9: ACP de Campina Grande, 4: Sol?nea
9: ACP de Campina Grande, 4: Soledade
9: ACP de Campina Grande, 4: Soss?go
9: ACP de Campina Grande, 4: Sousa
9: Tocantin?polis, 4: S?o Bento do Tocantins
9: ACP de Campina Grande, 4: Sum?
9: ACP de Campina Grande, 4: Tapero?
9: ACP de Campina Grande, 4: Ten?rio
9: ACP de Campina Grande, 4: Umbuzeiro
9: Guarabira, 4: Alagoinha
9: Guarabira, 4: Ara?agi
9: Guarabira, 4: Bel?m
9: Guarabira, 4: Borborema
9: Guarabira, 4: Cai?ara
9: Guarabira, 4: Cuitegi
9: A?ail?ndia, 4: Bom Jesus das Selvas
9: Guarabira, 4: Dona In?s
